[2026-06-10 10:16:37.166] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.184] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.187] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.197] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.206] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:37.216] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:37.227] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:37.235] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:37.246] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:37.269] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:37.290] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.301] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.309] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.322] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.331] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:37.341] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:37.393] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:37.412] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:37.415] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:37.423] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:37.434] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.444] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.470] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.491] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.491] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:37.502] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:37.511] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:37.521] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:37.532] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:37.542] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:37.552] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.597] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.618] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.628] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.637] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:37.648] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:37.688] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:37.709] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:37.720] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:37.730] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:37.741] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.749] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.797] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.813] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.818] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:37.828] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:37.836] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:37.847] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:37.858] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:37.899] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:37.925] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:37.933] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:37.946] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:37.955] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:37.990] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.010] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.020] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.031] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.041] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.052] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.060] [info] event: set_vel_all, value: 98296310543872
